date,Temperature,Humidity,Light,CO2,Occupancy,Ora,day,hour,absH,weekend,out_of_turn
2015-02-11 14:48:00,21.76,31.1333333333333,437.333333333333,1029.66666666667,1,2,11,14:48:00,14,0.0,1.0
2015-02-11 14:49:00,21.79,31.0,437.333333333333,1000.0,1,2,11,14:49:00,14,0.0,1.0
2015-02-11 14:50:00,21.7675,31.1225,434.0,1003.75,1,2,11,14:50:00,14,0.0,1.0
2015-02-11 14:51:00,21.7675,31.1225,439.0,1009.5,1,2,11,14:51:00,14,0.0,1.0
2015-02-11 14:51:59,21.79,31.1333333333333,437.333333333333,1005.6666666666699,1,2,11,14:51:59,14,0.0,1.0
2015-02-11 14:53:00,21.76,31.26,437.333333333333,1014.3333333333301,1,2,11,14:53:00,14,0.0,1.0
2015-02-11 14:54:00,21.79,31.1975,434.0,1018.5,1,2,11,14:54:00,14,0.0,1.0
2015-02-11 14:55:00,21.79,31.393333333333302,437.333333333333,1018.6666666666699,1,2,11,14:55:00,14,0.0,1.0
2015-02-11 14:55:59,21.79,31.3175,434.0,1022.0,1,2,11,14:55:59,14,0.0,1.0
2015-02-11 14:57:00,21.79,31.463333333333303,437.333333333333,1027.33333333333,1,2,11,14:57:00,14,0.0,1.0
2015-02-11 14:57:59,21.79,31.525,437.75,1047.75,1,2,11,14:57:59,14,0.0,1.0
2015-02-11 14:58:59,21.79,31.575,441.75,1049.0,1,2,11,14:58:59,14,0.0,1.0
2015-02-11 15:00:00,21.79,31.395,442.0,1061.5,1,2,11,15:00:00,15,0.0,1.0
2015-02-11 15:01:00,21.79,31.3925,441.75,1049.0,1,2,11,15:01:00,15,0.0,1.0
2015-02-11 15:02:00,21.79,31.5,441.5,1048.0,1,2,11,15:02:00,15,0.0,1.0
2015-02-11 15:03:00,21.815,31.5,438.0,1049.25,1,2,11,15:03:00,15,0.0,1.0
2015-02-11 15:04:00,21.815,31.4725,449.5,1051.25,1,2,11,15:04:00,15,0.0,1.0
2015-02-11 15:04:59,21.89,31.6,449.5,1060.5,1,2,11,15:04:59,15,0.0,1.0
2015-02-11 15:06:00,21.79,31.55,449.5,1059.5,1,2,11,15:06:00,15,0.0,1.0
2015-02-11 15:07:00,21.823333333333302,31.73,447.666666666667,1072.0,1,2,11,15:07:00,15,0.0,1.0
2015-02-11 15:08:00,21.865,31.7225,449.5,1072.33333333333,1,2,11,15:08:00,15,0.0,1.0
2015-02-11 15:08:59,21.89,31.745,449.5,1075.33333333333,1,2,11,15:08:59,15,0.0,1.0
2015-02-11 15:10:00,21.89,31.7675,449.5,1087.0,1,2,11,15:10:00,15,0.0,1.0
2015-02-11 15:10:59,21.89,31.7675,437.75,1083.25,1,2,11,15:10:59,15,0.0,1.0
2015-02-11 15:11:59,21.89,31.79,442.666666666667,1086.33333333333,1,2,11,15:11:59,15,0.0,1.0
2015-02-11 15:13:00,21.89,31.79,437.333333333333,1091.0,1,2,11,15:13:00,15,0.0,1.0
2015-02-11 15:14:00,21.89,31.89,439.0,1100.0,1,2,11,15:14:00,15,0.0,1.0
2015-02-11 15:15:00,21.89,31.89,444.0,1101.0,1,2,11,15:15:00,15,0.0,1.0
2015-02-11 15:16:00,21.89,31.865,444.0,1107.0,1,2,11,15:16:00,15,0.0,1.0
2015-02-11 15:16:59,21.89,31.79,444.0,1110.0,1,2,11,15:16:59,15,0.0,1.0
2015-02-11 15:17:59,21.89,31.865,444.0,1101.75,1,2,11,15:17:59,15,0.0,1.0
2015-02-11 15:19:00,21.89,31.73,444.0,1100.0,1,2,11,15:19:00,15,0.0,1.0
2015-02-11 15:20:00,21.89,31.7225,444.0,1092.75,1,2,11,15:20:00,15,0.0,1.0
2015-02-11 15:21:00,21.89,31.7,444.0,1092.5,1,2,11,15:21:00,15,0.0,1.0
2015-02-11 15:22:00,21.89,31.695,436.5,1094.0,1,2,11,15:22:00,15,0.0,1.0
2015-02-11 15:23:00,21.89,31.5666666666667,434.0,1085.66666666667,1,2,11,15:23:00,15,0.0,1.0
2015-02-11 15:23:59,21.89,31.55,436.5,1047.0,0,2,11,15:23:59,15,0.0,1.0
2015-02-11 15:24:59,21.89,31.36,434.0,1031.0,0,2,11,15:24:59,15,0.0,1.0
2015-02-11 15:26:00,21.89,31.125,432.75,977.5,0,2,11,15:26:00,15,0.0,1.0
2015-02-11 15:27:00,21.89,31.15,436.5,961.25,1,2,11,15:27:00,15,0.0,1.0
2015-02-11 15:28:00,21.89,31.0633333333333,434.0,948.0,1,2,11,15:28:00,15,0.0,1.0
2015-02-11 15:29:00,21.89,30.77,429.0,913.25,1,2,11,15:29:00,15,0.0,1.0
2015-02-11 15:29:59,21.89,30.7675,432.75,882.5,1,2,11,15:29:59,15,0.0,1.0
2015-02-11 15:30:59,21.89,30.945,429.0,884.5,1,2,11,15:30:59,15,0.0,1.0
2015-02-11 15:32:00,21.89,30.7925,429.0,899.0,1,2,11,15:32:00,15,0.0,1.0
2015-02-11 15:33:00,21.89,30.77,432.75,888.25,1,2,11,15:33:00,15,0.0,1.0
2015-02-11 15:34:00,21.89,30.795,436.5,878.5,1,2,11,15:34:00,15,0.0,1.0
2015-02-11 15:35:00,21.89,30.8175,429.0,891.25,1,2,11,15:35:00,15,0.0,1.0
2015-02-11 15:36:00,21.89,30.65,436.5,896.5,1,2,11,15:36:00,15,0.0,1.0
2015-02-11 15:36:59,21.89,30.7475,429.0,889.5,1,2,11,15:36:59,15,0.0,1.0
2015-02-11 15:38:00,21.89,30.7633333333333,429.0,887.333333333333,1,2,11,15:38:00,15,0.0,1.0
2015-02-11 15:39:00,21.89,30.77,429.0,893.5,1,2,11,15:39:00,15,0.0,1.0
2015-02-11 15:40:00,21.89,30.445,429.0,832.5,1,2,11,15:40:00,15,0.0,1.0
2015-02-11 15:40:59,21.89,30.5666666666667,429.0,829.0,1,2,11,15:40:59,15,0.0,1.0
2015-02-11 15:42:00,21.89,30.5,429.0,829.25,1,2,11,15:42:00,15,0.0,1.0
2015-02-11 15:42:59,21.89,30.575,429.0,850.5,1,2,11,15:42:59,15,0.0,1.0
2015-02-11 15:43:59,21.89,30.6,429.0,844.0,1,2,11,15:43:59,15,0.0,1.0
2015-02-11 15:45:00,21.89,30.55,429.0,840.25,1,2,11,15:45:00,15,0.0,1.0
2015-02-11 15:46:00,21.865,30.55,429.0,823.75,1,2,11,15:46:00,15,0.0,1.0
2015-02-11 15:47:00,21.89,30.6,429.0,824.0,1,2,11,15:47:00,15,0.0,1.0
2015-02-11 15:48:00,21.89,30.34,429.0,813.0,1,2,11,15:48:00,15,0.0,1.0
2015-02-11 15:49:00,21.89,30.356666666666698,429.0,802.0,1,2,11,15:49:00,15,0.0,1.0
2015-02-11 15:49:59,21.865,30.3925,429.0,810.75,1,2,11,15:49:59,15,0.0,1.0
2015-02-11 15:51:00,21.89,30.356666666666698,429.0,805.333333333333,1,2,11,15:51:00,15,0.0,1.0
2015-02-11 15:52:00,21.89,30.315,429.0,796.5,1,2,11,15:52:00,15,0.0,1.0
2015-02-11 15:53:00,21.89,30.2,429.0,795.0,1,2,11,15:53:00,15,0.0,1.0
2015-02-11 15:53:59,21.89,30.34,429.0,793.5,1,2,11,15:53:59,15,0.0,1.0
2015-02-11 15:55:00,21.89,30.295,429.0,790.5,1,2,11,15:55:00,15,0.0,1.0
2015-02-11 15:55:59,21.89,30.29,429.0,786.5,1,2,11,15:55:59,15,0.0,1.0
2015-02-11 15:56:59,21.89,30.39,429.0,794.333333333333,1,2,11,15:56:59,15,0.0,1.0
2015-02-11 15:58:00,21.89,30.365,429.0,795.5,1,2,11,15:58:00,15,0.0,1.0
2015-02-11 15:59:00,21.89,30.426666666666698,414.0,792.666666666667,1,2,11,15:59:00,15,0.0,1.0
2015-02-11 16:00:00,21.89,30.73,424.0,798.0,1,2,11,16:00:00,16,0.0,1.0
2015-02-11 16:01:00,21.89,30.4175,429.0,795.5,1,2,11,16:01:00,16,0.0,1.0
2015-02-11 16:01:59,21.89,30.39,429.0,797.75,1,2,11,16:01:59,16,0.0,1.0
2015-02-11 16:02:59,21.89,30.39,429.0,798.0,1,2,11,16:02:59,16,0.0,1.0
2015-02-11 16:04:00,21.89,30.445,429.0,802.0,1,2,11,16:04:00,16,0.0,1.0
2015-02-11 16:05:00,21.89,30.356666666666698,421.5,797.5,1,2,11,16:05:00,16,0.0,1.0
2015-02-11 16:06:00,21.89,30.323333333333302,429.0,791.5,1,2,11,16:06:00,16,0.0,1.0
2015-02-11 16:07:00,21.89,30.32,418.75,788.25,1,2,11,16:07:00,16,0.0,1.0
2015-02-11 16:08:00,21.89,30.39,429.0,792.25,1,2,11,16:08:00,16,0.0,1.0
2015-02-11 16:08:59,21.89,30.39,429.0,795.5,1,2,11,16:08:59,16,0.0,1.0
2015-02-11 16:09:59,21.89,30.365,429.0,793.5,1,2,11,16:09:59,16,0.0,1.0
2015-02-11 16:11:00,21.89,30.23,429.0,789.333333333333,1,2,11,16:11:00,16,0.0,1.0
2015-02-11 16:12:00,21.89,30.2,429.0,786.0,1,2,11,16:12:00,16,0.0,1.0
2015-02-11 16:13:00,21.89,30.0225,429.0,771.75,1,2,11,16:13:00,16,0.0,1.0
2015-02-11 16:14:00,21.89,29.96,429.0,760.0,1,2,11,16:14:00,16,0.0,1.0
2015-02-11 16:14:59,21.89,29.9175,429.0,756.0,1,2,11,16:14:59,16,0.0,1.0
2015-02-11 16:15:59,21.89,30.1,429.0,754.0,1,2,11,16:15:59,16,0.0,1.0
2015-02-11 16:17:00,21.89,30.15,416.5,759.0,1,2,11,16:17:00,16,0.0,1.0
2015-02-11 16:18:00,21.89,30.1333333333333,421.666666666667,756.666666666667,1,2,11,16:18:00,16,0.0,1.0
2015-02-11 16:19:00,21.89,30.47,438.0,764.25,1,2,11,16:19:00,16,0.0,1.0
2015-02-11 16:20:00,21.89,30.1666666666667,441.0,768.0,1,2,11,16:20:00,16,0.0,1.0
2015-02-11 16:21:00,21.89,30.075,438.0,770.25,1,2,11,16:21:00,16,0.0,1.0
2015-02-11 16:21:59,21.89,30.125,438.0,766.25,1,2,11,16:21:59,16,0.0,1.0
2015-02-11 16:23:00,21.89,30.175,438.0,767.75,1,2,11,16:23:00,16,0.0,1.0
2015-02-11 16:24:00,21.89,30.295,438.0,777.0,1,2,11,16:24:00,16,0.0,1.0
2015-02-11 16:25:00,21.89,30.2,441.0,775.333333333333,1,2,11,16:25:00,16,0.0,1.0
2015-02-11 16:25:59,21.89,30.2,436.333333333333,768.0,1,2,11,16:25:59,16,0.0,1.0
2015-02-11 16:27:00,21.865,30.15,438.0,766.75,1,2,11,16:27:00,16,0.0,1.0
2015-02-11 16:27:59,21.89,30.075,438.0,772.5,1,2,11,16:27:59,16,0.0,1.0
2015-02-11 16:28:59,21.89,30.0725,435.5,774.75,1,2,11,16:28:59,16,0.0,1.0
2015-02-11 16:30:00,21.89,30.03,435.0,766.333333333333,1,2,11,16:30:00,16,0.0,1.0
2015-02-11 16:31:00,21.89,29.9175,434.5,752.0,1,2,11,16:31:00,16,0.0,1.0
2015-02-11 16:32:00,21.89,30.1,430.5,754.0,1,2,11,16:32:00,16,0.0,1.0
2015-02-11 16:33:00,21.89,30.1,441.0,755.0,1,2,11,16:33:00,16,0.0,1.0
2015-02-11 16:34:00,21.89,30.075,431.0,763.25,1,2,11,16:34:00,16,0.0,1.0
2015-02-11 16:34:59,21.89,30.1975,425.0,769.5,1,2,11,16:34:59,16,0.0,1.0
2015-02-11 16:36:00,21.89,30.23,419.0,769.333333333333,1,2,11,16:36:00,16,0.0,1.0
2015-02-11 16:37:00,21.9175,30.5475,395.25,772.25,1,2,11,16:37:00,16,0.0,1.0
2015-02-11 16:38:00,21.963333333333303,30.7933333333333,426.666666666667,784.666666666667,1,2,11,16:38:00,16,0.0,1.0
2015-02-11 16:38:59,21.9725,30.2,424.75,784.25,1,2,11,16:38:59,16,0.0,1.0
2015-02-11 16:40:00,22.0,30.175,423.5,794.25,1,2,11,16:40:00,16,0.0,1.0
2015-02-11 16:40:59,21.945,30.245,423.5,791.0,1,2,11,16:40:59,16,0.0,1.0
