,date,Temperature,Humidity,Light,CO2,Occupancy,Ora,day,hour,absH,weekend,out_of_turn
0,2015-02-04 17:51:00,23.18,27.272,426.0,721.25,1,2,4,17:51:00,17,0.0,1.0
1,2015-02-04 17:51:59,23.15,27.2675,429.5,714.0,1,2,4,17:51:59,17,0.0,1.0
2,2015-02-04 17:53:00,23.15,27.245,426.0,713.5,1,2,4,17:53:00,17,0.0,1.0
3,2015-02-04 17:54:00,23.15,27.2,426.0,708.25,1,2,4,17:54:00,17,0.0,1.0
4,2015-02-04 17:55:00,23.1,27.2,426.0,704.5,1,2,4,17:55:00,17,0.0,1.0
5,2015-02-04 17:55:59,23.1,27.2,419.0,701.0,1,2,4,17:55:59,17,0.0,1.0
6,2015-02-04 17:57:00,23.1,27.2,419.0,701.666666666667,1,2,4,17:57:00,17,0.0,1.0
7,2015-02-04 17:57:59,23.1,27.2,419.0,699.0,1,2,4,17:57:59,17,0.0,1.0
8,2015-02-04 17:58:59,23.1,27.2,419.0,689.333333333333,1,2,4,17:58:59,17,0.0,1.0
9,2015-02-04 18:00:00,23.075,27.175,419.0,688.0,1,2,4,18:00:00,18,0.0,1.0
10,2015-02-04 18:01:00,23.075,27.15,419.0,690.25,1,2,4,18:01:00,18,0.0,1.0
11,2015-02-04 18:02:00,23.1,27.1,419.0,691.0,1,2,4,18:02:00,18,0.0,1.0
12,2015-02-04 18:03:00,23.1,27.1666666666667,419.0,683.5,1,2,4,18:03:00,18,0.0,1.0
13,2015-02-04 18:04:00,23.05,27.15,419.0,687.5,1,2,4,18:04:00,18,0.0,1.0
14,2015-02-04 18:04:59,23.0,27.125,419.0,686.0,1,2,4,18:04:59,18,0.0,1.0
15,2015-02-04 18:06:00,23.0,27.125,418.5,680.5,1,2,4,18:06:00,18,0.0,1.0
16,2015-02-04 18:07:00,23.0,27.2,0.0,681.5,0,2,4,18:07:00,18,0.0,1.0
17,2015-02-04 18:08:00,22.945,27.29,0.0,685.0,0,2,4,18:08:00,18,0.0,1.0
18,2015-02-04 18:08:59,22.945,27.39,0.0,685.0,0,2,4,18:08:59,18,0.0,1.0
19,2015-02-04 18:10:00,22.89,27.39,0.0,689.0,0,2,4,18:10:00,18,0.0,1.0
20,2015-02-04 18:10:59,22.89,27.39,0.0,689.5,0,2,4,18:10:59,18,0.0,1.0
21,2015-02-04 18:11:59,22.89,27.39,0.0,689.0,0,2,4,18:11:59,18,0.0,1.0
